,"data[, 1]",default,Predicted_data,CreditLimit,Sex,Education,MaritalStatus,Age,RPStatusSep,RPStatusAug,RPStatusJuly,RPStatusJune,RPStatusApril,BILL_AMT_August,BILL_AMT_July,BILL_AMT_May,BILL_AMT_April,PAY_AMT_Sept,PAY_AMT_August,PAY_AMT_July,PAY_AMT_June,PAY_AMT_May,PAY_AMT_April,Predicted_data
5,5,0,0,50000,1,2,1,57,-1,0,-1,0,0,5670,35835,19146,19131,2000,36681,10000,9000,689,679,0
8,8,0,0,100000,2,2,2,23,0,-1,-1,0,-1,380,601,-159,567,380,601,0,581,1687,1542,0
15,15,0,0,250000,1,1,2,29,0,0,0,0,0,67060,63561,56875,55512,3000,3000,3000,3000,3000,3000,0
27,27,1,0,60000,1,1,2,27,1,-2,-1,-1,-1,-425,259,127,-189,0,1000,0,500,0,1000,0
30,30,0,0,50000,1,1,2,26,0,0,0,0,0,16575,17496,18375,11400,1500,1500,1000,1000,1600,0,0
33,33,0,0,100000,1,1,2,32,0,0,0,0,0,84071,82880,78703,75589,3023,3511,3302,3204,3200,2504,0
37,37,0,0,280000,1,2,1,40,0,0,0,0,0,181328,180422,173901,177413,8026,8060,6300,6400,6400,6737,0
39,39,1,0,50000,1,1,2,25,1,-1,-1,-2,-2,780,0,0,0,780,0,0,0,0,0,0
41,41,0,0,360000,1,1,2,33,0,0,0,0,0,221296,206895,195969,179224,10000,7000,6000,188840,28000,4000,0
45,45,0,0,40000,2,1,2,30,0,0,0,2,0,21295,25921,26636,29197,3000,5000,0,2000,3000,0,0
50,50,0,0,20000,1,1,2,24,0,0,0,0,0,18479,19476,20480,20063,1318,1315,704,928,912,1069,0
52,52,0,0,100000,2,3,3,43,0,0,0,0,0,51163,43824,35762,33258,2000,1606,1500,2000,1500,1000,0
57,57,0,0,180000,2,3,1,34,0,0,0,-1,-1,15793,8441,-679,8321,8500,1500,7500,679,9000,2000,0
67,67,1,1,10000,1,2,1,56,2,2,2,0,0,4193,3978,4196,4326,2300,0,150,200,200,160,1
68,68,0,1,210000,2,1,2,30,2,-1,-1,-1,-1,300,1159,300,4250,300,1159,2280,300,4250,909,1
69,69,0,0,130000,2,3,2,29,1,-2,-2,-1,-1,-9850,-9850,10161,7319,0,0,20161,0,7319,13899,0
71,71,0,0,80000,1,1,2,31,-1,-1,-1,-1,-1,0,390,390,390,0,390,390,390,390,390,0
74,74,0,0,290000,2,1,2,37,1,-2,-1,-1,-1,0,3155,2359,0,0,3155,0,2359,0,0,0
78,78,0,0,300000,2,1,1,45,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,0
82,82,0,0,360000,2,1,2,26,0,0,0,0,-1,27796,30400,180000,196,4796,3400,3100,146900,196,2963,0
84,84,0,0,400000,2,2,1,44,0,0,2,0,0,139060,126819,104990,94058,10700,3,3050,3000,3200,2800,0
87,87,1,0,360000,2,1,1,45,-1,-1,2,0,-1,1170,780,390,390,1170,0,0,390,390,390,0
88,88,0,0,160000,2,2,2,32,0,0,0,0,-1,4751,6604,7072,766,1147,2000,2000,0,766,2303,0
97,97,0,0,360000,1,1,1,43,-1,-1,-1,-1,0,8322,3394,26370,9956,8339,3394,12902,27000,0,68978,0
100,100,1,0,20000,1,2,1,38,0,0,0,0,-1,19367,19559,17928,150,1699,1460,626,1750,150,0,0
107,107,0,0,80000,2,2,1,36,-1,-1,-1,-1,-1,2861,3277,1150,1150,2861,3279,3319,1150,1150,1035,0
117,117,0,0,240000,1,1,2,28,-1,-1,-1,-1,-1,326,326,476,326,326,326,5676,476,326,526,0
118,118,1,1,80000,1,2,2,26,2,0,0,0,0,15493,16630,17629,18186,2000,1700,1000,1000,1000,1000,1
119,119,0,0,400000,1,2,1,34,-1,-1,-1,-1,-1,9666,11867,14837,7959,9677,11867,7839,14837,7959,5712,0
123,123,0,0,110000,2,1,1,48,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
124,124,1,1,310000,2,2,1,35,2,0,0,0,0,311243,306314,246491,198889,13019,11128,8407,8599,6833,5987,1
128,128,1,0,180000,1,1,1,36,0,0,0,0,0,116422,99278,97753,95927,4655,2690,2067,2142,2217,1000,0
131,131,0,0,30000,2,1,2,23,1,-2,-2,-2,-1,5645,3508,13744,5906,5645,3508,27,13771,5911,3024,0
140,140,0,0,50000,1,1,2,24,0,0,0,0,0,50143,49586,19375,18995,2360,1700,1000,900,870,2130,0
144,144,0,0,170000,1,2,2,29,-2,-2,-2,-2,-2,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,0
146,146,0,0,50000,1,1,2,28,0,0,0,0,3,5913,7315,10624,10138,1000,1500,2000,1583,1100,0,0
148,148,0,0,200000,1,1,2,34,1,2,0,0,0,176192,93069,132233,59875,8000,5000,55500,5000,5000,8500,0
149,149,0,0,80000,2,2,1,23,1,2,3,2,0,10522,10205,10123,12034,1650,0,0,379,2091,1,0
151,151,0,0,140000,1,2,1,32,0,0,0,0,0,78142,68336,58319,55251,3455,3110,5000,0,2100,2602,0
154,154,0,0,280000,2,2,1,56,0,0,0,0,0,182350,132257,177145,169311,8042,6700,5137,100000,7000,6321,0
156,156,0,0,140000,1,1,1,34,0,0,0,0,0,28049,32073,47086,48699,5000,5000,11885,5000,3000,5504,0
165,165,0,0,60000,2,2,1,46,0,0,0,0,0,23803,24908,26655,27756,3000,1500,1500,1000,1500,1500,0
168,168,0,0,100000,1,2,1,27,-1,2,2,0,0,96847,58824,22979,-246,3166,0,1330,1398,12,50000,0
172,172,0,0,300000,2,1,2,30,-1,-1,-1,-1,-1,3280,0,2672,800,3288,0,4340,2672,800,746,0
178,178,0,0,50000,1,2,2,30,1,2,0,0,2,47801,48363,22877,22361,0,1500,1000,2000,0,2000,0
179,179,0,0,20000,2,2,2,22,0,0,0,0,0,12622,13221,14034,14906,1212,1201,500,1500,1500,1000,0
182,182,0,0,80000,2,3,2,35,0,-1,0,0,0,12412,14873,17770,17460,12500,6500,3000,2000,3000,2000,0
187,187,0,0,360000,2,1,2,32,1,-1,-1,-1,-1,57077,5287,13881,16240,57087,5295,68454,13889,16250,38313,0
192,192,1,1,60000,2,1,2,27,2,0,0,0,0,20347,21669,22499,22873,1342,1664,2000,0,900,846,1
193,193,0,0,180000,2,1,2,29,-1,-1,-1,-2,0,199,0,17227,17042,199,0,0,17227,341,5114,0
197,197,0,0,150000,2,2,1,34,-2,-2,-2,-2,-2,0,0,0,1500,0,0,116,0,1500,0,0
198,198,0,0,20000,2,1,2,22,0,0,0,0,0,19446,19065,18868,19247,1500,1032,541,20000,693,1000,0
199,199,0,0,500000,2,1,1,34,-2,-2,-2,-1,-1,138,2299,1206,1151,138,2299,1251,1206,1151,15816,0
205,205,0,0,360000,2,2,1,48,0,0,0,0,0,231878,234192,173557,146511,9100,7300,5800,5600,5600,4100,0
206,206,0,0,20000,1,3,1,43,-1,-1,0,0,0,20351,20237,19450,19337,22359,1305,1258,1459,3457,1700,0
208,208,1,0,210000,2,2,1,41,-1,-1,-1,-1,-1,1586,343,877,0,1586,343,3763,877,0,419,0
211,211,0,0,220000,1,1,2,24,0,0,0,-1,-1,108917,111520,0,85632,5000,5050,8303,0,85632,0,0
212,212,1,0,210000,2,1,1,38,1,-2,-1,0,-1,0,250,789,1222,0,250,0,789,1222,9616,0
